Namn    Beskrivning
abs()   Returnerar absolutvärdet av ett tal
all()   Returnerar True om alla element i en itererbar objekt är sanna
any()   Returnerar True om något element i en itererbar objekt är sant
ascii() Returnerar en läsbar version av ett objekt. Ersätter icke-ascii-tecken med escape-tecken
bin()   Returnerar den binära versionen av ett tal
bool()  Returnerar det booleska värdet för det angivna objektet
bytearray() Returnerar en array av byte
bytes() Returnerar ett byte-objekt
callable()  Returnerar True om det angivna objektet kan anropas, annars False
chr()   Returnerar en tecken från den angivna Unicode-koden.
classmethod()   Konverterar en metod till en klassmetod
compile()   Returnerar den angivna källkoden som ett objekt, redo att köras
complex()   Returnerar ett komplext tal
delattr()   Tar bort det angivna attributet (egenskap eller metod) från det angivna objektet
dict()  Returnerar en dictionary (Array)
dir()   Returnerar en lista över de angivna objektets egenskaper och metoder
divmod()    Returnerar kvoten och resten när argument1 delas med argument2
enumerate() Tar en samling (t.ex. en tuple) och returnerar den som ett enumerate-objekt
eval()  Utvärderar och utför ett uttryck
exec()  Utför den angivna koden (eller objektet)
filter()    Använder en filterfunktion för att utesluta element i en itererbar objekt
float() Returnerar ett flyttal
format()    Formaterar ett angivet värde
frozenset() Returnerar ett frozenset-objekt
getattr()   Returnerar värdet av det angivna attributet (egenskap eller metod)
globals()   Returnerar den aktuella globala symboltabellen som en dictionary
hasattr()   Returnerar True om det angivna objektet har det angivna attributet (egenskap/metod)
hash()  Returnerar hashvärdet för ett angivet objekt
help()  Utför det inbyggda hjälpsystemet
hex()   Konverterar ett tal till en hexadecimal representation
id()    Returnerar id:et för ett objekt
input() Tillåter användarinmatning
int()   Returnerar ett heltal
isinstance()    Returnerar True om ett angivet objekt är en instans av ett angivet objekt
issubclass()    Returnerar True om en angiven klass är en subklass av ett angivet objekt
iter()  Returnerar ett iteratorobjekt
len()   Returnerar längden på ett objekt
list()  Returnerar en lista
locals()    Returnerar en uppdaterad dictionary över den aktuella lokala symboltabellen
map()   Returnerar den angivna iteratorn med den angivna funktionen applicerad på varje element
max()   Returnerar det största elementet i en itererbar
memoryview()    Returnerar ett memory view-objekt
min()   Returnerar det minsta elementet i en itererbar
next()  Returnerar nästa element i en itererbar
object()    Returnerar ett nytt objekt
oct()   Konverterar ett tal till oktalt format
open()  Öppnar en fil och returnerar ett filobjekt
ord()   Konverterar ett heltal som representerar Unicode för det angivna tecknet
pow()   Returnerar värdet av x upphöjt till y
print() Skriver till standardutmatningsenheten
property()  Hämtar, sätter, raderar en egenskap
range() Returnerar en sekvens av nummer, börjar från 0 och ökar med 1 (som standard)
repr()  Returnerar en läsbar version av ett objekt
reversed()   Returnerar en omvänd iterator
